##############################################################################################################################################
TOTAL SOLVED : 265
LAST UPDATED : APRIL 15,2026
##############################################################################################################################################

Sno                       Problem No                       Problem Name

1)                             1                              Two Sum
2)                             4                              Median of Two Sorted Arrays
3)                             5                              Longest Palindromic Substring
4)                             9                              Palindrome Number
5)                             11                             Container With Most Water
6)                             12                             Integer to Roman
7)                             13                             Roman to Integer
8)                             15                             3Sum
9)                             20                             Valid Parentheses
10)                            26                             Remove Duplicates from Sorted Array
11)                            27                             Remove Element
12)                            28                             Find the Index of the First Occurrence in a String
13)                            33                             Search in Rotated Sorted Array
14)                            34                             Find First and Last Position of Element in Sorted Array
15)                            35                             Search Insert Position
16)                            38                             Count and Say
17)                            48                             Rotate Image
18)                            52                             N-Queens II
19)                            54                             Spiral Matrix
20)                            58                             Length of Last Word
21)                            59                             Spiral Matrix II
22)                            66                             Plus One
23)                            67                             Add Binary
24)                            69                             Sqrt(x)
25)                            70                             Climbing Stairs
26)                            74                             Search a 2D Matrix
27)                            75                             Sort Colors
28)                            118                            Pascal's Triangle
29)                            119                            Pascal's Triangle II
30)                            125                            Valid Palindrome
31)                            136                            Single Number
32)                            151                            Reverse Words in a String
33)                            153                            Find Minimum in Rotated Sorted Array
34)                            154                            Find Minimum in Rotated Sorted Array II
35)                            169                            Majority Element
36)                            175                            Combine Two Tables
37)                            189                            Rotate Array
38)                            190                            Reverse Bits
39)                            191                            Number of 1 Bits
40)                            202                            Happy Number
41)                            205                            Isomorphic Strings
42)                            206                            Reverse Linked List
43)                            215                            Kth Largest Element in an Array
44)                            217                            Contains Duplicate
45)                            229                            Majority Element II
46)                            231                            Power of Two
47)                            238                            Product of Array Except Self
48)                            242                            Valid Anagram
49)                            258                            Add Digits
50)                            263                            Ugly Number
51)                            268                            Missing Number
52)                            275                            H-Index II
53)                            278                            First Bad Version
54)                            283                            Move Zeroes
55)                            292                            Nim Game
56)                            300                            Longest Increasing Subsequence
57)                            326                            Power of Three
58)                            338                            Counting Bits
59)                            342                            Power of Four
60)                            344                            Reverse String
61)                            345                            Reverse Vowels of a String
62)                            349                            Intersection of Two Arrays
63)                            354                            Russian Doll Envelopes
64)                            367                            Valid Perfect Square
65)                            374                            Guess Number Higher or Lower
66)                            392                            Is Subsequence
67)                            394                            Decode String
68)                            405                            Convert a Number to Hexadecimal
69)                            407                            Trapping Rain Water II
70)                            412                            Fizz Buzz
71)                            414                            Third Maximum Number
72)                            415                            Add Strings
73)                            434                            Number of Segments in a String
74)                            436                            Find Right Interval
75)                            441                            Arranging Coins
76)                            443                            String Compression
77)                            468                            Validate IP Address
78)                            485                            Max Consecutive Ones
79)                            491                            Non-decreasing Subsequences
80)                            496                            Next Greater Element I
81)                            503                            Next Greater Element II
82)                            504                            Base 7
83)                            506                            Relative Ranks
84)                            507                            Perfect Number
85)                            540                            Single Element in a Sorted Array
86)                            541                            Reverse String II
87)                            557                            Reverse Words in a String III
88)                            561                            Array Partition
89)                            605                            Can Place Flowers
90)                            611                            Valid Triangle Number
91)                            628                            Maximum Product of Three Numbers
92)                            657                            Robot Return to Origin
93)                            658                            Find K Closest Elements
94)                            679                            24 Game
95)                            682                            Baseball Game
96)                            696                            Count Binary Substrings
97)                            717                            1-bit and 2-bit Characters
98)                            724                            Find Pivot Index
99)                            728                            Self Dividing Numbers
100)                           709                            To Lower Case
